NAME,No_of_Rooms,Rent
Houghton County,3 Rooms,930
Houghton County,4 Rooms,1518
Houghton County,5 or more Rooms,0
Houghton County,No Rooms,510
Huron County,1 Room,501
Huron County,2 Rooms,625
Huron County,3 Rooms,738
Huron County,4 Rooms,803
Huron County,5 or more Rooms,820
Huron County,No Rooms,0
Ingham County,1 Room,735
Ingham County,2 Rooms,937
Ingham County,3 Rooms,1129
Ingham County,4 Rooms,1112
Ingham County,5 or more Rooms,1212
Ingham County,No Rooms,734
Ionia County,1 Room,489
Ionia County,2 Rooms,813
Ionia County,3 Rooms,905
Ionia County,4 Rooms,1116
Ionia County,5 or more Rooms,610
Ionia County,No Rooms,579
Iosco County,1 Room,387
Iosco County,2 Rooms,663
Iosco County,3 Rooms,755
Iosco County,4 Rooms,1313
Iosco County,5 or more Rooms,850
Iosco County,No Rooms,0
Iron County,1 Room,432
Iron County,2 Rooms,717
Iron County,3 Rooms,767
Iron County,4 Rooms,0
Iron County,5 or more Rooms,0
Iron County,No Rooms,425
Isabella County,1 Room,619
Isabella County,2 Rooms,731
Isabella County,3 Rooms,924
Isabella County,4 Rooms,722
Isabella County,5 or more Rooms,0
Isabella County,No Rooms,701
Jackson County,1 Room,644
Jackson County,2 Rooms,797
Jackson County,3 Rooms,974
Jackson County,4 Rooms,1135
Jackson County,5 or more Rooms,1375
Jackson County,No Rooms,603
Kalamazoo County,1 Room,717
Kalamazoo County,2 Rooms,887
Kalamazoo County,3 Rooms,1079
Kalamazoo County,4 Rooms,1200
Kalamazoo County,5 or more Rooms,1776
Kalamazoo County,No Rooms,632
Kalkaska County,1 Room,388
Kalkaska County,2 Rooms,697
Kalkaska County,3 Rooms,857
Kalkaska County,4 Rooms,825
Kalkaska County,5 or more Rooms,0
Kalkaska County,No Rooms,375
Kent County,1 Room,786
Kent County,2 Rooms,953
Kent County,3 Rooms,1155
Kent County,4 Rooms,1274
Kent County,5 or more Rooms,1332
Kent County,No Rooms,811
Keweenaw County,1 Room,415
Keweenaw County,2 Rooms,547
Keweenaw County,3 Rooms,862
Keweenaw County,4 Rooms,0
Keweenaw County,5 or more Rooms,0
Keweenaw County,No Rooms,0
Lake County,1 Room,293
Lake County,2 Rooms,688
Lake County,3 Rooms,920
Lake County,4 Rooms,1195
Lake County,5 or more Rooms,0
Lake County,No Rooms,0
Lapeer County,1 Room,586
Lapeer County,2 Rooms,826
Lapeer County,3 Rooms,1030
Lapeer County,4 Rooms,1322
Lapeer County,5 or more Rooms,1149
Lapeer County,No Rooms,769
Leelanau County,1 Room,664
Leelanau County,2 Rooms,994
Leelanau County,3 Rooms,1082
Leelanau County,4 Rooms,1250
Leelanau County,5 or more Rooms,0
Leelanau County,No Rooms,532
Lenawee County,1 Room,609
Lenawee County,2 Rooms,792
Lenawee County,3 Rooms,933
Lenawee County,4 Rooms,1096
Lenawee County,5 or more Rooms,735
Lenawee County,No Rooms,520
Livingston County,1 Room,877
Livingston County,2 Rooms,1021
Livingston County,3 Rooms,1328
Livingston County,4 Rooms,1481
Livingston County,5 or more Rooms,1736
Livingston County,No Rooms,868
Luce County,1 Room,338
Luce County,2 Rooms,752
Luce County,3 Rooms,826
Luce County,4 Rooms,942
Luce County,5 or more Rooms,0
Luce County,No Rooms,0
Mackinac County,1 Room,548
Mackinac County,2 Rooms,670
Mackinac County,3 Rooms,675
Mackinac County,4 Rooms,880
Mackinac County,5 or more Rooms,660
Mackinac County,No Rooms,291
Macomb County,1 Room,798
Macomb County,2 Rooms,1000
Macomb County,3 Rooms,1204
Macomb County,4 Rooms,1318
Macomb County,5 or more Rooms,1336
Macomb County,No Rooms,765
Manistee County,1 Room,528
Manistee County,2 Rooms,764
Manistee County,3 Rooms,881
Manistee County,4 Rooms,728
Manistee County,5 or more Rooms,950
Manistee County,No Rooms,811
Marquette County,1 Room,658
Marquette County,2 Rooms,805
Marquette County,3 Rooms,790
Marquette County,4 Rooms,1396
Marquette County,5 or more Rooms,1671
Marquette County,No Rooms,563
Mason County,1 Room,577
Mason County,2 Rooms,764
Mason County,3 Rooms,946
Mason County,4 Rooms,959
Mason County,5 or more Rooms,1337
Mason County,No Rooms,0
Mecosta County,1 Room,535
Mecosta County,2 Rooms,708
Mecosta County,3 Rooms,826
Mecosta County,4 Rooms,734
Mecosta County,5 or more Rooms,1335
Mecosta County,No Rooms,0
Menominee County,1 Room,459
Menominee County,2 Rooms,610
Menominee County,3 Rooms,827
Menominee County,4 Rooms,853
Menominee County,5 or more Rooms,1075
Menominee County,No Rooms,453
Midland County,1 Room,618
Midland County,2 Rooms,825
Midland County,3 Rooms,986
Midland County,4 Rooms,1005
Midland County,5 or more Rooms,1540
Midland County,No Rooms,622
Missaukee County,1 Room,521
Missaukee County,2 Rooms,722
Missaukee County,3 Rooms,825
Missaukee County,4 Rooms,828
Missaukee County,5 or more Rooms,673
Missaukee County,No Rooms,0
Monroe County,1 Room,646
Monroe County,2 Rooms,897
Monroe County,3 Rooms,1032
Monroe County,4 Rooms,1246
Monroe County,5 or more Rooms,1199
Monroe County,No Rooms,547
Montcalm County,1 Room,563
Montcalm County,2 Rooms,717
Montcalm County,3 Rooms,805
Montcalm County,4 Rooms,863
Montcalm County,5 or more Rooms,648
Montcalm County,No Rooms,554
Montmorency County,1 Room,565
Montmorency County,2 Rooms,668
Montmorency County,3 Rooms,839
Montmorency County,4 Rooms,0
Montmorency County,5 or more Rooms,0
Montmorency County,No Rooms,0
Muskegon County,1 Room,586
Muskegon County,2 Rooms,809
Muskegon County,3 Rooms,923
Muskegon County,4 Rooms,884
Muskegon County,5 or more Rooms,980
Muskegon County,No Rooms,625
Newaygo County,1 Room,503
Newaygo County,2 Rooms,757
Newaygo County,3 Rooms,869
Newaygo County,4 Rooms,931
Newaygo County,5 or more Rooms,689
Newaygo County,No Rooms,495
Oakland County,1 Room,866
Oakland County,2 Rooms,1164
Oakland County,3 Rooms,1370
Oakland County,4 Rooms,1836
Oakland County,5 or more Rooms,1469
Oakland County,No Rooms,800
Oceana County,1 Room,499
Oceana County,2 Rooms,769
Oceana County,3 Rooms,803
Oceana County,4 Rooms,990
